Date,Arriving by date,Type,Confirmation code,Booking date,Start date,End date,Nights,Guest,Listing,Details,Reference code,Currency,Amount,Paid out,Service fee,Fast pay fee,Cleaning fee,Gross earnings,Occupancy taxes,Earnings year
02/03/2026,02/04/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 6918724523,USD,,1990.00,,,,,,
02/03/2026,,Reservation,HMR4N3KYYY,10/26/2025,01/22/2026,01/24/2026,2,Guest 001,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,91.48,,2.83,,15.12,94.31,0.00,2026
02/03/2026,,Reservation,HMZZW3MSTX,11/28/2025,01/29/2026,02/17/2026,19,Guest 002,Delightful Piantini | Spacious 11th Floor 1BR Apt,,,USD,1240.19,,38.36,,31.34,1278.55,0.00,2026
02/03/2026,,Reservation,HMRSFBDY5N,12/03/2025,02/02/2026,02/07/2026,5,Guest 003,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,668.33,,20.67,,55.00,689.00,0.00,2026
01/30/2026,02/02/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 9469675969,USD,,1990.00,,,,,,
01/30/2026,,Reservation,HM8DSXHY8P,01/09/2026,01/11/2026,01/17/2026,6,Guest 004,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,235.87,,7.29,,0.00,243.16,0.00,2026
01/30/2026,,Reservation,HMR4N3KYYY,10/26/2025,01/22/2026,01/24/2026,2,Guest 001,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,241.23,,7.46,,39.88,248.69,0.00,2026
01/30/2026,,Reservation,HMMMETW2PF,01/23/2026,01/24/2026,01/25/2026,1,Guest 005,Delightful Piantini | Spacious 11th Floor 1BR Apt,,,USD,109.61,,3.39,,35.00,113.00,0.00,2026
01/30/2026,,Reservation,HMC8HME3PY,01/24/2026,01/25/2026,01/29/2026,4,Guest 006,Modern City Getaway | Spacious 1BR Apt,,,USD,235.71,,7.29,,35.00,243.00,0.00,2026
01/30/2026,,Reservation,HMMK8RT98X,01/25/2026,01/25/2026,01/27/2026,2,Guest 007,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,277.42,,8.58,,55.00,286.00,0.00,2026
01/30/2026,,Reservation,HMKC9WAW4Z,01/25/2026,01/25/2026,01/28/2026,3,Guest 008,Delightful Piantini | Spacious 11th Floor 1BR Apt,,,USD,228.92,,7.08,,35.00,236.00,0.00,2026
01/30/2026,,Reservation,HMEPDSHKRC,01/26/2026,01/27/2026,01/29/2026,2,Guest 009,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,286.15,,8.85,,55.00,295.00,0.00,2026
01/30/2026,,Reservation,HMH8E9ZCPT,01/28/2026,01/28/2026,01/29/2026,1,Guest 010,Delightful Piantini | Spacious 11th Floor 1BR Apt,,,USD,98.94,,3.06,,35.00,102.00,0.00,2026
01/30/2026,,Reservation,HMW2DYEHM9,01/04/2026,01/29/2026,01/31/2026,2,Guest 011,☆ TOP CITY CENTER - 3BR APT | Luxury High-rise ☆,,,USD,286.15,,8.85,,55.00,295.00,6.70,2026
01/22/2026,01/23/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 1572328959,USD,,1990.00,,,,,,
