Date,Arriving by date,Type,Confirmation code,Booking date,Start date,End date,Nights,Guest,Listing,Details,Reference code,Currency,Amount,Paid out,Service fee,Fast pay fee,Cleaning fee,Gross earnings,Occupancy taxes,Earnings year
02/15/2026,02/16/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 8126404019,USD,,1990.00,,,,,,
02/15/2026,,Reservation,HMYN5NE2CH,12/17/2025,02/11/2026,02/21/2026,10,Guest 001,Inspire and Unwind • Magical 3BR,,,USD,823.39,,25.47,,26.09,848.86,0.00,2026
02/15/2026,,Reservation,HMCRTZMCDK,02/12/2026,02/12/2026,02/14/2026,2,Guest 002,Palm 2BR Urban Retreat w/ Pool,,,USD,164.90,,5.10,,40.00,170.00,0.00,2026
02/15/2026,,Reservation,HMM89F8D29,08/25/2025,02/14/2026,03/01/2026,15,Guest 003,Palm 2BR Urban Retreat w/ Pool,,,USD,1011.71,,31.29,,45.00,1043.00,0.00,2026
02/12/2026,02/13/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 6756497170,USD,,1990.00,,,,,,
02/12/2026,,Reservation,HM5NC5FN3F,11/06/2025,01/29/2026,02/01/2026,3,Guest 004,Inspire and Unwind • Magical 3BR,,,USD,347.61,,10.75,,30.14,358.36,0.00,2026
02/12/2026,,Reservation,HMWQ5B32YH,01/29/2026,02/01/2026,02/04/2026,3,Guest 005,Inspire and Unwind • Magical 3BR,,,USD,504.40,,15.60,,55.00,520.00,0.00,2026
02/12/2026,,Reservation,HMDH2SRFF3,12/10/2025,02/05/2026,02/07/2026,2,Guest 006,Inspire and Unwind • Magical 3BR,,,USD,405.46,,12.54,,55.00,418.00,0.00,2026
02/12/2026,,Reservation,HM3CN2KBYZ,02/03/2026,02/05/2026,02/08/2026,3,Guest 007,Palm 2BR Urban Retreat w/ Pool,,,USD,247.35,,7.65,,45.00,255.00,0.00,2026
02/12/2026,,Reservation,HMESRAX9KZ,01/26/2026,02/09/2026,02/11/2026,2,Guest 008,Inspire and Unwind • Magical 3BR,,,USD,354.05,,10.95,,55.00,365.00,0.00,2026
02/12/2026,,Reservation,HMYN5NE2CH,12/17/2025,02/11/2026,02/21/2026,10,Guest 001,Inspire and Unwind • Magical 3BR,,,USD,141.13,,4.36,,4.47,145.49,0.00,2026
02/01/2026,02/02/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 0838477748,USD,,1990.00,,,,,,
